[FimsReadDemon             ; 0:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:02]Program End.
[FimsSendDemon             ; 0:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:01]Program End.
[FimsSendDemon             ; 0:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:01]4번>>>> 제조사 배송 내역 연동 시작: FimsDeliDlvr_20200217240801.dat
[FimsSendDemon             ; 0:08:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:01]Program End.
[FimsReadDemon             ; 0:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:02]Program End.
[FimsSendDemon             ; 0:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:02]4번>>>> 제조사 배송 내역 연동 시작: FimsDeliDlvr_20200217241802.dat
[FimsSendDemon             ; 0:18:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:02]Program End.
[FimsReadDemon             ; 0:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:02]Program End.
[FimsSendDemon             ; 0:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:02]4번>>>> 제조사 배송 내역 연동 시작: FimsDeliDlvr_20200217242802.dat
[FimsSendDemon             ; 0:28:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:02]Program End.
[FimsReadDemon             ; 0:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:02]Program End.
[FimsSendDemon             ; 0:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:02]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:01]4번>>>> 제조사 배송 내역 연동 시작: FimsDeliDlvr_20200217243801.dat
[FimsSendDemon             ; 0:38:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:01]Program End.
[FimsReadDemon             ; 0:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:02]METS Db CONNECTION !! 
